AktID,ArtID,LatArt
870191,4823,Ranunculus acris
870191,4835,Ranunculus bulbosus
870191,5030,Rubus caesius
870191,5447,Clinopodium acinos
870191,5451,Clinopodium vulgare
870191,5603,Jacobaea vulgaris
870191,5620,Senecio vulgaris
870191,5780,Solidago virgaurea
870191,5790,Sonchus oleraceus
870191,6161,Taraxacum officinale coll.
870191,6355,Thymus serpyllum
870191,6418,Trifolium campestre
870191,6676,Vicia cracca
870191,7180,Bryopsida
870191,7231,Homalothecium lutescens
870191,32838,Achillea millefolium
880645,121,Agrostis gigantea
880645,260,Alopecurus pratensis
880645,429,Anthoxanthum odoratum
880645,557,Arrhenatherum elatius
880645,1210,Carex hirta
880645,1806,Crataegus laevigata
880645,1925,Dactylis glomerata
880645,2274,Elytrigia repens
880645,2588,Schedonorus pratensis
880645,2591,Festuca rubra
880645,2717,Galium verum
880645,3089,Holcus lanatus
880645,4423,Plantago lanceolata
880645,4483,Poa pratensis
880645,4692,Potentilla reptans
880645,4817,Quercus robur
880645,4977,Rosa canina subsp. canina
880645,5148,Rumex acetosa
880645,5917,Stellaria graminea
880774,116,Agrostis capillaris
880774,121,Agrostis gigantea
880774,167,Alchemilla glaucescens
880774,230,Allium vineale
880774,429,Anthoxanthum odoratum
880774,557,Arrhenatherum elatius
880774,1190,Carex flacca
880774,1461,Cerastium fontanum var. vulgare
880774,1638,Cirsium vulgare
880774,1777,Cotoneaster
880774,1810,Crataegus monogyna
880774,1902,Cynosurus cristatus
880774,1925,Dactylis glomerata
880774,2167,Dryopteris filix-mas
880774,2591,Festuca rubra
880774,2612,Filipendula ulmaria
880774,2613,Filipendula vulgaris
880774,2622,Fragaria vesca
880774,2633,Fraxinus excelsior
880774,2770,Geranium robertianum
880774,2786,Geum urbanum
880774,2906,Avenula pubescens
880774,3089,Holcus lanatus
880774,3168,Hypochaeris radicata
880774,3288,Juniperus communis
880774,3354,Lapsana communis
880774,3520,Linum catharticum
880774,3580,Lotus corniculatus
880774,3608,Luzula campestris
880774,3688,Malus domestica
880774,4059,Orchis mascula
880774,4423,Plantago lanceolata
880774,4483,Poa pratensis
880774,4719,Primula veris
880774,4817,Quercus robur
880774,4823,Ranunculus acris
880774,4972,Rosa
880774,4977,Rosa canina subsp. canina
880774,5000,Rosa rubiginosa
880774,5122,Rubus sect. Corylifolii
880774,5123,Rubus sect. Rubus
880774,5148,Rumex acetosa
880774,5465,Saxifraga granulata
880774,5917,Stellaria graminea
880774,6161,Taraxacum officinale coll.
880774,6518,Ulmus glabra
880774,6633,Veronica chamaedrys
880774,6676,Vicia cracca
880774,6717,Viola
880774,7180,Bryopsida
880774,32823,Valeriana sambucifolia
880774,32838,Achillea millefolium
881009,116,Agrostis capillaris
881009,1902,Cynosurus cristatus
881009,1925,Dactylis glomerata
881009,3089,Holcus lanatus
881009,3168,Hypochaeris radicata
881009,3420,Scorzoneroides autumnalis
881009,3552,Lolium perenne
881009,4423,Plantago lanceolata
881009,4483,Poa pratensis
881009,4880,Ranunculus repens
881009,5180,Rumex crispus
881009,6161,Taraxacum officinale coll.
881009,6446,Trifolium repens
881009,7180,Bryopsida
881009,32838,Achillea millefolium
881574,116,Agrostis capillaris
881574,531,Arenaria serpyllifolia
881574,557,Arrhenatherum elatius
881574,885,Bromus hordeaceus subsp. hordeaceus
881574,1020,Campanula rotundifolia
881574,1210,Carex hirta
881574,1461,Cerastium fontanum var. vulgare
881574,1625,Cirsium arvense
881574,1638,Cirsium vulgare
881574,1720,Convolvulus arvensis
881574,1800,Crataegus
881574,1925,Dactylis glomerata
881574,2274,Elytrigia repens
881574,2591,Festuca rubra
881574,2613,Filipendula vulgaris
881574,2687,Galium mollugo
881574,2717,Galium verum
881574,2756,Geranium columbinum
881574,2905,Avenula pratensis
881574,2935,Heracleum sphondylium
881574,3300,Knautia arvensis
881574,3635,Lycium barbarum
881574,4043,Ononis spinosa subsp. hircina
881574,4292,Phleum pratense subsp. nodosum
881574,4423,Plantago lanceolata
881574,4664,Potentilla argentea
881574,4692,Potentilla reptans
881574,4719,Primula veris
881574,4950,Ribes uva-crispa
881574,4972,Rosa
881574,4977,Rosa canina subsp. canina
881574,5148,Rumex acetosa
881574,5603,Jacobaea vulgaris
881574,5808,Sorbus intermedia
881574,6633,Veronica chamaedrys
881574,6646,Veronica officinalis
881574,6698,Vicia sativa subsp. sativa
881574,6773,Viola tricolor
881574,6782,Viscaria vulgaris
881574,7180,Bryopsida
881574,7768,"Cladonia sp., s.s."
881574,32838,Achillea millefolium
883984,116,Agrostis capillaris
883984,121,Agrostis gigantea
883984,217,Allium oleraceum
883984,378,Pulsatilla pratensis
883984,582,Artemisia vulgaris
883984,1020,Campanula rotundifolia
883984,1461,Cerastium fontanum var. vulgare
883984,1625,Cirsium arvense
883984,1638,Cirsium vulgare
883984,1824,Crepis capillaris
883984,1925,Dactylis glomerata
883984,2001,Daucus carota subsp. carota
883984,2274,Elytrigia repens
883984,2569,Schedonorus arundinaceus
883984,2591,Festuca rubra
883984,2717,Galium verum
883984,2763,Geranium molle
883984,3080,Hippophaë rhamnoides
883984,3089,Holcus lanatus
883984,3552,Lolium perenne
883984,3580,Lotus corniculatus
883984,3736,Medicago lupulina
883984,4044,Ononis spinosa subsp. procurrens
883984,4292,Phleum pratense subsp. nodosum
883984,4369,Pimpinella saxifraga
883984,4423,Plantago lanceolata
883984,4835,Ranunculus bulbosus
883984,5156,Rumex acetosella
883984,5180,Rumex crispus
883984,5924,Stellaria media
883984,6441,Trifolium pratense
883984,6446,Trifolium repens
883984,6529,Urtica dioica
883984,6676,Vicia cracca
883984,6685,Vicia lathyroides
883984,7180,Bryopsida
883984,32838,Achillea millefolium
885179,116,Agrostis capillaris
885179,1625,Cirsium arvense
885179,1925,Dactylis glomerata
885179,2274,Elytrigia repens
885179,2591,Festuca rubra
885179,4423,Plantago lanceolata
885179,4743,Prunus spinosa
885179,4880,Ranunculus repens
885809,116,Agrostis capillaris
885809,429,Anthoxanthum odoratum
885809,764,Bellis perennis
885809,1461,Cerastium fontanum var. vulgare
885809,1625,Cirsium arvense
885809,1902,Cynosurus cristatus
885809,1925,Dactylis glomerata
885809,2016,Deschampsia cespitosa
885809,2591,Festuca rubra
885809,3089,Holcus lanatus
885809,3168,Hypochaeris radicata
885809,3552,Lolium perenne
885809,4292,Phleum pratense subsp. nodosum
885809,4423,Plantago lanceolata
885809,4483,Poa pratensis
885809,4823,Ranunculus acris
885809,4835,Ranunculus bulbosus
885809,5148,Rumex acetosa
885809,6446,Trifolium repens
885809,7180,Bryopsida
887543,116,Agrostis capillaris
887543,429,Anthoxanthum odoratum
887543,1461,Cerastium fontanum var. vulgare
887543,1921,Cytisus scoparius
887543,3089,Holcus lanatus
887543,3168,Hypochaeris radicata
887543,3268,Juncus effusus
887543,3552,Lolium perenne
887543,4423,Plantago lanceolata
887543,4817,Quercus robur
887543,5156,Rumex acetosella
887543,5924,Stellaria media
887543,7180,Bryopsida
903366,116,Agrostis capillaris
903366,885,Bromus hordeaceus subsp. hordeaceus
903366,1290,Carex pilulifera
903366,1625,Cirsium arvense
903366,1810,Crataegus monogyna
903366,1925,Dactylis glomerata
903366,2016,Deschampsia cespitosa
903366,2274,Elytrigia repens
903366,2588,Schedonorus pratensis
903366,2591,Festuca rubra
903366,2613,Filipendula vulgaris
903366,2683,Galium aparine
903366,2717,Galium verum
903366,2770,Geranium robertianum
903366,2786,Geum urbanum
903366,3089,Holcus lanatus
903366,3168,Hypochaeris radicata
903366,3552,Lolium perenne
903366,3851,Moehringia trinervia
903366,3890,Myosotis arvensis
903366,4291,Phleum pratense subsp. pratense
903366,4494,Poa trivialis
903366,4731,Prunus avium
903366,4732,Prunus cerasifera
903366,5005,Rosa mollis
903366,5073,Rubus idaeus
903366,6161,Taraxacum officinale coll.
903366,6397,Tragopogon pratensis subsp. pratensis
903366,6529,Urtica dioica
903366,6676,Vicia cracca
903366,7180,Bryopsida
904336,217,Allium oleraceum
904336,225,Allium scorodoprasum
904336,230,Allium vineale
904336,260,Alopecurus pratensis
904336,435,Anthriscus sylvestris
904336,557,Arrhenatherum elatius
904336,885,Bromus hordeaceus subsp. hordeaceus
904336,1397,Centaurea jacea
904336,1470,Cerastium semidecandrum
904336,1638,Cirsium vulgare
904336,1720,Convolvulus arvensis
904336,1806,Crataegus laevigata
904336,1902,Cynosurus cristatus
904336,2040,Dianthus deltoides
904336,2585,Festuca ovina
904336,2591,Festuca rubra
904336,2613,Filipendula vulgaris
904336,2717,Galium verum
904336,2763,Geranium molle
904336,2905,Avenula pratensis
904336,3089,Holcus lanatus
904336,3168,Hypochaeris radicata
904336,3552,Lolium perenne
904336,3608,Luzula campestris
904336,4292,Phleum pratense subsp. nodosum
904336,4359,Pilosella officinarum
904336,4423,Plantago lanceolata
904336,4483,Poa pratensis
904336,4494,Poa trivialis
904336,4692,Potentilla reptans
904336,4732,Prunus cerasifera
904336,4743,Prunus spinosa
904336,4976,Rosa canina
904336,5123,Rubus sect. Rubus
904336,5156,Rumex acetosella
904336,5180,Rumex crispus
904336,5917,Stellaria graminea
904336,6161,Taraxacum officinale coll.
904336,6291,Teesdalia nudicaulis
904336,6418,Trifolium campestre
904336,6422,Trifolium dubium
904336,6441,Trifolium pratense
904336,6446,Trifolium repens
904336,6451,Trifolium striatum
904336,6697,Vicia sativa subsp. nigra
904336,7180,Bryopsida
904336,7766,"Lichenes sp. (eksl. Cladonia sp., s.l.)"
904336,32838,Achillea millefolium
904336,1049372,Dactylis glomerata/polygama
907848,5123,Rubus sect. Rubus
907848,5302,Salix caprea
907848,6529,Urtica dioica
909130,116,Agrostis capillaris
909130,429,Anthoxanthum odoratum
909130,557,Arrhenatherum elatius
909130,582,Artemisia vulgaris
909130,883,Bromus hordeaceus
909130,1020,Campanula rotundifolia
